aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
15,-384,8409,1,-3,-1,-3.84,0.23,0.34
-11,-397,8397,0,-4,-2,-3.83,0.27,0.35
-24,-432,8363,-1,-5,-3,-3.82,0.32,0.39
-21,-473,8302,-2,-4,-4,-3.83,0.37,0.42
-14,-525,8244,-2,-4,-4,-3.86,0.42,0.47
-10,-579,8193,-2,-4,-4,-3.89,0.47,0.51
4,-625,8148,-2,-6,-3,-3.93,0.54,0.56
29,-667,8106,-1,-7,-3,-3.96,0.62,0.59
58,-709,8073,-1,-7,-3,-3.98,0.72,0.63
88,-738,8041,0,-7,-3,-4.00,0.81,0.66
120,-749,8011,0,-6,-2,-4.00,0.90,0.68
143,-739,7991,2,-6,-2,-3.98,0.98,0.70
158,-706,7977,3,-5,-1,-3.94,1.06,0.71
158,-668,7981,5,-6,-1,-3.88,1.13,0.72
138,-628,7997,7,-7,0,-3.78,1.21,0.72
121,-582,8036,9,-7,0,-3.65,1.29,0.70
110,-531,8111,10,-8,0,-3.50,1.38,0.70
94,-490,8208,10,-8,0,-3.35,1.48,0.69
83,-450,8290,9,-9,-1,-3.20,1.59,0.68
85,-411,8372,8,-10,-1,-3.07,1.71,0.68
96,-377,8429,6,-11,-2,-2.96,1.85,0.70
100,-356,8423,4,-12,-2,-2.89,1.99,0.71
91,-342,8367,2,-13,-3,-2.84,2.15,0.74
87,-355,8276,1,-15,-4,-2.81,2.33,0.78
92,-376,8181,2,-16,-5,-2.78,2.54,0.84
111,-414,8091,3,-17,-7,-2.74,2.76,0.92
161,-457,8031,5,-17,-8,-2.68,2.99,1.01
263,-501,8033,6,-13,-9,-2.60,3.18,1.13
471,-560,8145,9,0,-11,-2.48,3.25,1.25
793,-594,8346,11,25,-12,-2.34,3.05,1.41
1075,-612,8551,10,64,-13,-2.19,2.37,1.58
1190,-622,8703,7,104,-15,-2.08,1.12,1.78
1132,-593,8741,1,135,-18,-2.06,-0.61,2.01
952,-551,8594,-6,160,-24,-2.14,-2.71,2.32
725,-550,8339,-12,178,-30,-2.31,-5.09,2.70
480,-634,8083,-13,194,-37,-2.59,-7.70,3.19
261,-693,7913,-9,209,-41,-2.87,-10.50,3.76
102,-619,7928,-4,229,-41,-3.12,-13.53,4.35
-61,-177,8193,-2,258,-37,-3.27,-16.92,4.96
-206,-9,8535,-14,303,-47,-3.62,-20.83,5.65
-477,121,8720,-43,341,-60,-4.50,-25.25,6.44
-1019,183,8664,-82,361,-64,-6.15,-30.04,7.12
-1623,231,8139,-117,363,-56,-8.49,-34.89,7.37
-2192,-276,7146,-136,392,-43,-11.47,-40.04,7.10
-2601,-1350,6050,-131,434,-22,-15.18,-45.71,6.35
-2902,-1280,4893,-110,443,10,-19.04,-51.68,5.14
-3052,-648,3752,-90,396,51,-22.37,-57.33,3.18
-3296,-320,2769,-71,354,91,-25.03,-62.54,0.32
-4000,-213,1904,-55,353,118,-27.48,-67.80,-3.61
-5207,-268,1178,-51,324,131,-30.15,-72.94,-9.41
-6628,-251,543,-51,263,130,-32.84,-77.41,-18.25
-7941,-228,64,-47,202,120,-35.16,-81.08,-30.83
-9013,-204,-329,-39,155,100,-37.46,-83.96,-46.12
-9943,-254,-630,-28,128,71,-43.08,-86.25,-62.88
-10641,-379,-884,-16,100,35,-60.22,-87.74,-77.79
-11026,-422,-1067,-5,77,1,-94.04,-91.85,-89.41
-11174,-402,-1124,4,48,-24,-115.24,-92.32,-97.02
-11116,-320,-1076,8,24,-36,-119.78,-92.95,-101.00
-10965,-299,-959,9,-1,-40,-116.97,-93.45,-101.75
-10800,-317,-802,10,-24,-40,-109.95,-93.85,-99.20
-10613,-345,-635,10,-45,-40,-100.30,-94.23,-93.47
-10395,-419,-534,12,-62,-42,-89.36,-85.28,-84.76
-10188,-531,-503,15,-86,-42,-77.68,-84.58,-72.84
-9939,-687,-481,23,-108,-41,-66.26,-83.60,-58.35
-9707,-816,-440,30,-132,-42,-56.16,-82.25,-43.46
-9553,-890,-344,32,-170,-42,-46.87,-80.43,-30.06
-9443,-857,-145,31,-225,-42,-38.43,-77.93,-19.77
-9238,-847,133,32,-272,-43,-31.37,-74.65,-12.57
-8913,-916,514,36,-293,-50,-26.49,-70.84,-7.73
-8453,-944,1019,41,-302,-61,-23.30,-66.72,-4.18
-7898,-940,1607,42,-306,-68,-21.09,-62.45,-1.44
-7297,-975,2221,40,-309,-71,-19.49,-58.05,0.68
-6635,-1015,2751,36,-312,-67,-18.19,-53.58,2.30
-5994,-1093,3219,32,-315,-59,-17.06,-49.10,3.49
-5423,-1171,3670,30,-321,-46,-15.97,-44.57,4.32
-4873,-1201,4089,31,-320,-31,-14.87,-40.07,4.89
