aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
2273, -171, 10248, 0.0, 0.3, 1.0, 47.2, 0.2, 14.6
3500, -333, 11875, 0.0, 0.2, 1.0, 47.2, 1.0, 13.3
3916, -505, 13070, 0.0, 0.2, 1.0, 47.6, 0.9, 10.9
3640, -933, 13949, 0.0, 0.1, 1.0, 47.9, 0.0, 7.6
2834, -1692, 14595, -0.0, 0.1, 1.0, 47.9, -1.7, 3.8
1508, -2594, 15069, -0.1, 0.0, 1.0, 47.7, -4.2, 0.4
-173, -3519, 15417, -0.1, -0.0, 1.0, 47.2, -7.4, -2.5
-1882, -4363, 15673, -0.2, -0.1, 1.0, 46.7, -10.9, -5.1
-3530, -5086, 15862, -0.2, -0.1, 1.0, 46.3, -14.3, -7.2
-4796, -5640, 16000, -0.3, -0.1, 0.9, 45.8, -17.2, -8.6
-5261, -5945, 16102, -0.3, -0.2, 0.9, 45.5, -19.2, -9.3
-5288, -5713, 16176, -0.3, -0.1, 0.9, 45.6, -20.0, -8.9
-5203, -5121, 16231, -0.3, -0.1, 0.9, 46.0, -19.6, -7.4
-5057, -4601, 15955, -0.3, -0.1, 0.9, 46.7, -18.5, -5.3
-4743, -4066, 15116, -0.3, -0.1, 1.0, 47.4, -17.4, -3.1
-4121, -3477, 13549, -0.3, -0.0, 1.0, 48.2, -17.1, -1.0
-3796, -2941, 11900, -0.3, 0.0, 1.0, 49.0, -17.6, 0.7
-4120, -2695, 10820, -0.3, 0.0, 0.9, 49.5, -18.3, 2.1
-4852, -2366, 10298, -0.3, 0.1, 0.9, 49.4, -19.3, 3.4
-4301, -2214, 10677, -0.3, 0.1, 0.9, 48.9, -19.8, 4.8
-3620, -2313, 11110, -0.3, 0.1, 0.9, 48.5, -20.0, 6.2
-3183, -2378, 10472, -0.3, 0.1, 0.9, 48.2, -20.0, 7.9
-2646, -2247, 9244, -0.3, 0.2, 0.9, 47.9, -19.6, 10.0
-1785, -2026, 8473, -0.3, 0.2, 0.9, 47.7, -19.2, 12.2
