aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-363,-685,8138,1,1,1,-4.88,-2.15,-4.24
-380,-672,8160,0,2,-1,-4.86,-2.18,-4.24
-402,-658,8172,0,4,-1,-4.85,-2.24,-4.24
-414,-650,8173,-1,4,-2,-4.85,-2.31,-4.22
-421,-647,8169,-2,4,-3,-4.86,-2.38,-4.19
-417,-661,8153,-2,2,-3,-4.88,-2.42,-4.16
-414,-687,8134,-2,0,-2,-4.91,-2.45,-4.13
-407,-713,8105,-2,-2,-2,-4.94,-2.43,-4.11
-392,-736,8072,-2,-4,-1,-4.97,-2.38,-4.11
-367,-751,8037,-2,-5,0,-4.99,-2.32,-4.12
-351,-758,8031,0,-4,1,-5.00,-2.27,-4.13
-338,-758,8026,0,-2,1,-4.99,-2.24,-4.15
-341,-764,8037,1,1,0,-4.98,-2.25,-4.17
-344,-760,8039,2,3,0,-4.95,-2.30,-4.17
-371,-749,8047,1,5,-1,-4.92,-2.37,-4.17
-406,-734,8065,1,3,-1,-4.90,-2.43,-4.15
-426,-716,8081,1,1,-2,-4.87,-2.47,-4.14
-421,-703,8105,1,-2,-2,-4.85,-2.46,-4.11
-388,-706,8142,1,-3,-2,-4.84,-2.43,-4.09
-345,-705,8184,0,-3,-2,-4.83,-2.38,-4.07
-302,-705,8231,1,-3,-1,-4.82,-2.33,-4.06
-273,-704,8276,1,-1,0,-4.80,-2.31,-4.06
-251,-699,8308,1,1,0,-4.77,-2.31,-4.06
-246,-692,8336,1,4,0,-4.75,-2.36,-4.07
-262,-687,8337,1,6,0,-4.73,-2.44,-4.07
-282,-678,8343,1,7,0,-4.72,-2.53,-4.08
-314,-664,8344,1,7,-1,-4.69,-2.65,-4.08
-350,-642,8349,2,6,0,-4.66,-2.74,-4.08
-388,-622,8371,2,4,0,-4.62,-2.81,-4.08
-409,-616,8391,2,2,0,-4.59,-2.86,-4.08
-420,-622,8416,1,1,-1,-4.56,-2.89,-4.08
-423,-627,8422,0,2,-1,-4.55,-2.92,-4.07
-421,-624,8405,-1,4,-1,-4.55,-2.97,-4.07
-431,-625,8392,-1,6,-1,-4.56,-3.05,-4.06
-452,-639,8370,-1,8,-2,-4.57,-3.16,-4.05
-477,-656,8333,-1,9,-2,-4.58,-3.29,-4.03
-501,-663,8288,-1,9,-2,-4.59,-3.43,-4.00
-519,-673,8231,-1,9,-3,-4.61,-3.56,-3.98
-542,-694,8171,0,7,-3,-4.61,-3.68,-3.94
-553,-715,8104,0,6,-3,-4.61,-3.77,-3.91
-551,-733,8053,1,4,-3,-4.60,-3.84,-3.87
-546,-747,8021,2,3,-3,-4.58,-3.89,-3.84
-532,-760,7977,4,2,-3,-4.54,-3.92,-3.79
-521,-756,7948,6,2,-3,-4.47,-3.94,-3.75
-540,-728,7953,8,3,-4,-4.37,-3.99,-3.70
-581,-661,8020,9,-1,-4,-4.25,-4.00,-3.66
-625,-546,8138,9,-9,-4,-4.10,-3.92,-3.61
-669,-429,8274,7,-21,-4,-3.96,-3.69,-3.55
-678,-338,8405,6,-36,-4,-3.84,-3.25,-3.50
-647,-284,8531,3,-49,-4,-3.75,-2.62,-3.46
-572,-264,8620,1,-62,-4,-3.71,-1.81,-3.41
-459,-294,8656,-2,-72,-5,-3.71,-0.84,-3.35
-346,-351,8612,-6,-81,-7,-3.76,0.26,-3.25
-252,-400,8489,-11,-95,-11,-3.88,1.53,-3.13
-158,-483,8301,-17,-112,-14,-4.09,3.02,-2.94
-65,-567,8072,-22,-134,-17,-4.37,4.80,-2.71
70,-659,7817,-24,-162,-16,-4.71,6.95,-2.46
285,-743,7544,-24,-189,-12,-5.06,9.48,-2.26
572,-810,7276,-23,-214,-7,-5.43,12.38,-2.10
955,-879,7058,-20,-237,-3,-5.79,15.62,-2.01
1445,-952,6879,-15,-253,1,-6.16,19.11,-1.97
1989,-1012,6734,-12,-263,6,-6.53,22.76,-2.03
2549,-1101,6631,-8,-267,11,-6.95,26.50,-2.17
3029,-1143,6490,-6,-260,15,-7.42,30.15,-2.40
3336,-1129,6294,-5,-250,15,-7.93,33.64,-2.67
3462,-1057,6044,-6,-253,12,-8.50,37.09,-2.94
3513,-949,5772,-7,-271,7,-9.14,40.73,-3.16
3649,-879,5476,-10,-296,1,-9.90,44.69,-3.31
3932,-860,5214,-14,-318,-5,-10.86,48.98,-3.37
4393,-851,4906,-19,-324,-10,-12.07,53.44,-3.27
4918,-857,4618,-22,-311,-14,-13.54,57.78,-3.01
5454,-837,4326,-24,-289,-17,-15.25,61.84,-2.58
6007,-854,4000,-24,-262,-21,-17.17,65.53,-1.92
6540,-880,3686,-23,-234,-24,-19.27,68.84,-0.99
6990,-908,3315,-22,-209,-26,-21.60,71.79,0.22
7342,-930,2932,-23,-193,-25,-24.42,74.47,1.86
7626,-924,2539,-22,-179,-23,-28.03,76.91,4.11
7876,-906,2134,-22,-160,-22,-32.64,79.08,7.23
8111,-930,1801,-19,-134,-22,-38.09,80.88,11.50
8322,-946,1520,-14,-105,-23,-43.72,82.27,16.76
8461,-922,1282,-10,-77,-23,-48.96,83.30,22.67
