aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
47,-25,8183,0,-1,-1,-0.18,0.45,42.93
48,-31,8207,0,0,-1,-0.18,0.45,42.93
31,-16,8216,0,0,-1,-0.18,0.45,42.94
71,-4,8170,0,0,-1,-0.17,0.46,42.94
89,-18,8197,-1,-1,-1,-0.17,0.46,42.94
84,-24,8214,0,-1,0,-0.17,0.47,42.93
81,-59,8175,-1,0,0,-0.18,0.46,42.93
63,-58,8207,0,-1,-1,-0.18,0.45,42.93
54,-41,8202,-1,-1,-1,-0.18,0.46,42.93
38,-29,8192,-1,0,0,-0.18,0.45,42.93
36,-21,8208,0,-1,0,-0.18,0.45,42.93
58,-21,8192,0,-1,0,-0.17,0.46,42.93
74,-21,8193,-1,0,0,-0.17,0.46,42.93
85,-31,8198,0,-1,-1,-0.18,0.46,42.93
76,-33,8201,0,0,-1,-0.18,0.46,42.93
75,-38,8201,-1,-1,-1,-0.18,0.46,42.93
68,-42,8196,-1,0,0,-0.18,0.46,42.93
63,-45,8202,0,-1,-1,-0.18,0.46,42.93
63,-34,8195,0,-1,-1,-0.18,0.46,42.93
65,-28,8203,-1,0,0,-0.18,0.46,42.93
63,-29,8197,-1,0,-1,-0.18,0.46,42.93
62,-30,8199,0,0,-1,-0.17,0.46,42.93
53,-19,8203,-1,0,-1,-0.17,0.46,42.93
49,-25,8210,-1,0,0,-0.18,0.45,42.93
49,-32,8212,0,-1,0,-0.18,0.45,42.93
59,-35,8208,0,-1,0,-0.17,0.46,42.93
68,-46,8203,-1,0,-1,-0.18,0.46,42.93
74,-49,8208,0,-1,0,-0.18,0.46,42.93
75,-39,8204,0,0,0,-0.18,0.46,42.93
69,-34,8198,-1,0,0,-0.18,0.46,42.93
64,-28,8201,0,-1,0,-0.18,0.46,42.93
65,-22,8191,-1,0,-1,-0.18,0.46,42.93
61,-27,8190,-1,0,0,-0.18,0.46,42.93
60,-32,8194,0,-1,-1,-0.18,0.45,42.93
61,-35,8201,0,-1,-1,-0.18,0.46,42.93
61,-36,8206,-1,0,-1,-0.18,0.46,42.93
60,-37,8209,-1,0,0,-0.18,0.45,42.93
61,-32,8211,0,-1,0,-0.18,0.45,42.93
61,-31,8202,0,-1,0,-0.18,0.46,42.93
62,-30,8199,0,-1,-1,-0.18,0.46,42.93
63,-40,8199,0,-1,0,-0.18,0.46,42.93
64,-43,8195,0,-1,-1,-0.18,0.46,42.93
67,-42,8197,0,-1,-1,-0.18,0.46,42.93
65,-32,8199,-1,0,0,-0.18,0.46,42.93
56,-32,8198,-1,0,0,-0.18,0.46,42.93
56,-35,8197,-1,0,-1,-0.18,0.46,42.93
55,-34,8200,0,-1,0,-0.18,0.45,42.93
55,-37,8201,-1,-1,0,-0.18,0.45,42.93
53,-33,8195,0,-1,-1,-0.18,0.46,42.93
50,-27,8192,0,-1,-1,-0.18,0.46,42.93
55,-25,8192,-1,0,-1,-0.18,0.45,42.93
66,-24,8200,0,-1,0,-0.17,0.46,42.93
73,-28,8201,-1,-1,-1,-0.18,0.46,42.93
78,-30,8198,-1,-1,-1,-0.18,0.46,42.93
79,-30,8200,-1,-1,0,-0.18,0.46,42.93
72,-34,8194,-1,0,-1,-0.18,0.46,42.93
65,-38,8197,-1,0,0,-0.18,0.46,42.93
62,-35,8197,0,0,-1,-0.18,0.46,42.93
61,-32,8194,0,-1,0,-0.18,0.46,42.93
61,-29,8196,-1,0,-1,-0.18,0.45,42.93
60,-25,8205,-1,0,-1,-0.18,0.45,42.93
67,-26,8214,0,-1,-1,-0.18,0.45,42.93
66,-29,8213,-1,0,0,-0.18,0.45,42.93
60,-31,8217,0,-1,0,-0.18,0.45,42.93
