aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-143,991,8060,-2,1,0,5.91,-1.49,54.78
-159,981,8086,-2,0,1,5.89,-1.50,54.77
-189,963,8116,-2,0,1,5.88,-1.51,54.74
-215,931,8134,-1,-1,2,5.87,-1.50,54.71
-229,884,8136,0,-2,2,5.87,-1.49,54.69
-248,847,8133,0,-2,1,5.87,-1.47,54.66
-263,830,8139,1,-1,1,5.89,-1.47,54.64
-271,819,8150,2,0,1,5.92,-1.47,54.63
-276,816,8150,2,0,0,5.95,-1.48,54.61
-283,820,8163,2,0,0,5.98,-1.49,54.60
-283,831,8170,3,-1,0,6.02,-1.50,54.59
-276,845,8167,3,0,0,6.08,-1.50,54.58
-268,858,8163,3,0,0,6.13,-1.51,54.58
-265,867,8145,3,-2,0,6.18,-1.51,54.57
-259,868,8121,2,-4,0,6.22,-1.46,54.56
-250,848,8099,4,-6,0,6.27,-1.40,54.54
-224,814,8099,7,-7,0,6.35,-1.30,54.53
-205,781,8124,11,-11,1,6.48,-1.17,54.52
-185,746,8135,17,-17,1,6.69,-0.96,54.50
-139,754,8100,22,-22,2,6.97,-0.67,54.47
-81,828,8059,27,-23,3,7.34,-0.34,54.43
-17,946,8035,30,-22,4,7.76,-0.02,54.37
37,1053,8030,31,-21,6,8.22,0.28,54.29
67,1149,8076,31,-25,7,8.67,0.62,54.18
160,1253,8177,31,-27,8,9.13,1.01,54.07
270,1371,8272,30,-24,8,9.57,1.38,53.95
311,1440,8316,23,-22,8,9.94,1.71,53.83
288,1474,8283,8,-37,7,10.13,2.15,53.77
335,1583,8172,-20,-79,6,9.98,3.10,53.81
468,1802,7981,-58,-107,6,9.36,4.52,54.00
585,2053,7773,-98,-105,7,8.23,6.03,54.25
688,2135,7509,-137,-92,7,6.55,7.36,54.52
890,1998,7154,-173,-74,4,4.34,8.48,54.80
1311,1636,6672,-202,-23,-2,1.67,9.07,55.06
1723,1037,6134,-218,53,-14,-1.31,8.70,55.34
1800,276,5807,-224,122,-24,-4.43,7.33,55.66
1580,-499,5901,-216,163,-29,-7.52,5.26,56.05
1145,-1099,6388,-201,171,-26,-10.42,2.94,56.44
663,-1539,7080,-187,146,-19,-13.11,0.83,56.77
228,-1898,7745,-177,107,-13,-15.63,-0.76,56.96
-140,-2195,8207,-171,66,-9,-18.05,-1.79,56.98
-429,-2447,8437,-169,36,-9,-20.41,-2.38,56.85
-647,-2679,8465,-170,13,-10,-22.78,-2.62,56.59
-716,-2873,8265,-173,-5,-10,-25.17,-2.60,56.19
-664,-3054,7828,-178,-13,-10,-27.64,-2.42,55.65
-622,-3283,7260,-178,-3,-7,-30.15,-2.30,55.03
-689,-3602,6753,-172,18,-4,-32.62,-2.44,54.43
