aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-69,1468,8051,8,-1,-1,10.20,-1.08,62.04
-44,1501,8051,9,-1,0,10.33,-1.06,62.03
-29,1533,8061,10,-1,1,10.48,-1.04,62.00
-28,1560,8061,11,-1,2,10.64,-1.01,61.96
-44,1584,8058,12,-2,1,10.82,-0.99,61.92
-50,1621,8062,13,-2,1,11.02,-0.96,61.89
-52,1671,8076,14,-2,1,11.23,-0.93,61.86
-50,1725,8102,16,-3,1,11.47,-0.91,61.82
-28,1772,8122,17,-4,2,11.72,-0.86,61.78
8,1811,8131,18,-3,2,11.98,-0.79,61.73
36,1832,8116,19,-3,2,12.27,-0.74,61.67
52,1827,8105,21,-2,2,12.56,-0.70,61.61
52,1789,8091,24,-2,2,12.88,-0.67,61.55
38,1729,8069,28,-3,2,13.24,-0.62,61.49
11,1674,8053,32,-4,1,13.67,-0.57,61.43
13,1593,8036,39,-5,-1,14.17,-0.51,61.39
-19,1540,8034,46,-5,-2,14.76,-0.45,61.35
-41,1524,8017,54,-9,-4,15.45,-0.36,61.33
-17,1541,7951,63,-13,-6,16.26,-0.23,61.34
77,1604,7870,72,-13,-9,17.21,-0.08,61.38
169,1678,7726,82,-14,-12,18.30,0.06,61.42
305,1750,7520,93,-12,-14,19.54,0.19,61.47
405,1814,7334,106,-8,-16,20.96,0.27,61.48
496,1893,7233,120,-6,-17,22.57,0.31,61.45
472,2014,7211,134,-6,-17,24.36,0.31,61.37
364,2197,7219,145,-11,-16,26.32,0.33,61.24
335,2437,7269,155,-15,-16,28.42,0.41,61.07
244,2746,7318,158,-19,-17,30.60,0.51,60.88
109,3057,7242,159,-25,-19,32.80,0.64,60.70
-29,3376,7095,160,-25,-24,35.03,0.74,60.55
-118,3663,6910,159,-24,-31,37.25,0.74,60.44
-245,3928,6712,157,-21,-37,39.46,0.64,60.36
-405,4174,6498,155,-17,-43,41.62,0.41,60.30
-594,4436,6321,153,-16,-48,43.77,0.08,60.25
-677,4729,6141,151,-19,-52,45.88,-0.29,60.26
-684,5018,5948,148,-21,-53,47.95,-0.68,60.27
-735,5247,5720,147,-20,-52,50.00,-1.08,60.23
-841,5388,5395,148,-24,-50,52.05,-1.48,60.14
-938,5463,4991,151,-27,-48,54.14,-1.86,59.98
-1034,5547,4552,156,-30,-48,56.31,-2.22,59.73
-1116,5679,4135,160,-31,-49,58.54,-2.62,59.40
-1100,5945,3794,162,-33,-51,60.82,-3.05,58.96
-1001,6277,3481,161,-33,-51,63.09,-3.48,58.43
-859,6611,3135,157,-31,-50,65.33,-3.92,57.73
-720,6893,2840,155,-25,-50,67.53,-4.40,56.75
-681,7115,2577,154,-22,-47,69.71,-4.90,55.44
-716,7288,2313,156,-24,-42,71.90,-5.37,53.77
-752,7428,2014,158,-25,-37,74.12,-5.78,51.65
-808,7565,1722,160,-27,-33,76.37,-6.14,48.96
-888,7752,1471,160,-27,-30,78.62,-6.49,45.53
-933,8005,1280,157,-28,-27,80.83,-6.80,41.33
-894,8315,1120,150,-27,-25,82.95,-7.09,36.23
-841,8624,958,140,-26,-24,84.93,-7.36,30.26
-733,8828,757,130,-24,-22,86.76,-7.61,23.49
-663,8954,557,123,-22,-19,88.48,-7.82,15.81
-651,8974,352,117,-22,-12,90.11,-172.04,7.33
-700,8930,196,111,-22,-6,91.66,-171.97,-1.62
-820,8837,66,103,-25,-2,93.09,-171.94,-10.47
-947,8694,-47,94,-27,-1,94.40,-171.90,-18.80
-1099,8498,-182,85,-29,-1,95.56,-171.85,-26.32
-1234,8270,-403,76,-34,-1,96.59,-171.77,-33.17
-1325,8036,-802,66,-38,-2,97.50,-171.66,-39.39
-1403,7788,-1275,59,-35,-7,98.36,-171.50,-45.00
-1493,7676,-1651,54,-30,-12,99.15,-171.26,-49.69
-1543,7784,-1835,48,-27,-14,99.88,-171.00,-53.52
-1508,8087,-1899,38,-27,-12,100.44,-170.75,-56.65
-1383,8451,-1970,24,-24,-10,100.80,-170.57,-59.06
-1254,8802,-2053,9,-19,-9,100.97,-170.43,-60.62
-1195,9084,-2132,-3,-16,-8,100.96,-170.33,-61.52
-1145,9294,-2227,-13,-12,-5,100.82,-170.26,-61.95
-1113,9454,-2316,-24,-7,-1,100.54,-170.26,-61.82
-1150,9533,-2396,-35,-1,2,100.14,-170.31,-60.97
-1267,9571,-2403,-44,5,6,99.62,-170.41,-59.30
-1414,9600,-2301,-54,10,11,98.96,-170.57,-56.71
-1515,9656,-2084,-65,13,15,98.14,-170.78,-53.04
-1525,9745,-1809,-79,15,17,97.12,-171.04,-47.85
-1454,9815,-1524,-97,18,20,95.84,-171.34,-40.22
-1338,9816,-1286,-116,21,23,94.31,-171.71,-29.21
-1295,9718,-1107,-132,23,25,92.57,-172.10,-14.60
-1306,9463,-975,-143,23,29,90.67,-172.51,1.89
-1375,9144,-853,-150,22,34,88.67,-7.05,17.26
-1480,8759,-770,-154,17,39,86.61,-6.56,29.78
-1536,8329,-725,-157,17,42,84.52,-6.05,39.22
-1566,7921,-614,-158,23,43,82.43,-5.54,45.85
-1571,7586,-396,-159,28,42,80.31,-5.06,50.43
-1535,7360,-51,-162,32,41,78.14,-4.62,53.78
-1391,7227,384,-168,36,41,75.88,-4.21,56.31
-1251,7188,856,-178,41,43,73.48,-3.80,58.21
-1183,7183,1284,-189,42,46,70.93,-3.39,59.72
-1303,7166,1633,-197,39,49,68.25,-2.99,60.97
-1540,7034,1943,-199,28,48,65.51,-2.62,62.16
-1687,6747,2151,-197,17,45,62.78,-2.25,63.35
-1748,6385,2305,-192,11,42,60.11,-1.91,64.41
-1720,6064,2465,-187,10,38,57.51,-1.59,65.32
-1584,5826,2658,-182,11,34,54.99,-1.34,66.05
-1338,5668,2920,-179,18,28,52.51,-1.18,66.60
-1056,5554,3266,-177,27,24,50.05,-1.14,66.99
-831,5471,3685,-176,35,24,47.61,-1.20,67.19
-692,5402,4151,-173,38,26,45.19,-1.31,67.27
-395,1447,8061,5,-1,0,10.28,-2.74,63.77
-374,1437,8039,6,0,0,10.36,-2.73,63.75
-365,1426,8003,6,0,0,10.45,-2.73,63.73
-352,1406,7974,7,1,0,10.54,-2.74,63.72
-348,1401,7964,9,1,-1,10.66,-2.76,63.70
-357,1411,7967,10,1,-1,10.80,-2.78,63.69
-358,1440,7992,12,1,-1,10.97,-2.80,63.69
-353,1494,8020,13,0,-1,11.16,-2.81,63.68
-341,1555,8048,15,0,-2,11.37,-2.82,63.68
-314,1605,8068,16,0,-2,11.60,-2.81,63.68
-283,1639,8077,17,-1,-2,11.85,-2.81,63.68
-238,1669,8079,19,0,-2,12.12,-2.80,63.69
-189,1693,8079,21,-1,-2,12.41,-2.78,63.69
-127,1725,8063,23,-1,-3,12.74,-2.76,63.69
-80,1762,8039,25,0,-3,13.09,-2.74,63.70
-29,1795,8075,28,0,-4,13.48,-2.74,63.71
13,1812,8087,31,1,-4,13.90,-2.73,63.72
18,1810,8100,35,0,-4,14.37,-2.72,63.72
23,1774,8069,41,-1,-4,14.90,-2.70,63.72
43,1725,7990,47,0,-5,15.52,-2.69,63.72
32,1698,7932,55,2,-7,16.23,-2.72,63.72
-21,1694,7875,63,2,-8,17.05,-2.77,63.73
-57,1694,7771,71,1,-11,17.98,-2.83,63.76
-103,1684,7617,81,2,-15,19.04,-2.91,63.80
-139,1694,7492,91,6,-19,20.23,-3.04,63.87
-224,1769,7446,102,8,-23,21.56,-3.26,63.95
-341,1874,7427,113,7,-26,23.06,-3.50,64.04
-445,2007,7396,124,4,-27,24.69,-3.73,64.13
-506,2162,7324,133,3,-27,26.47,-3.94,64.17
-602,2360,7269,141,2,-28,28.35,-4.16,64.19
-702,2607,7188,148,-1,-29,30.34,-4.38,64.18
-769,2852,7066,153,-3,-31,32.41,-4.60,64.16
-838,3102,6929,157,-3,-33,34.53,-4.83,64.11
-961,3332,6747,159,-5,-34,36.69,-5.08,64.04
-1054,3589,6607,160,-9,-37,38.86,-5.35,63.99
-1144,3825,6447,160,-13,-40,41.03,-5.61,63.96
-1261,4062,6230,160,-13,-45,43.19,-5.93,63.96
-1407,4337,5985,159,-14,-50,45.35,-6.32,63.99
-1504,4647,5728,159,-15,-56,47.50,-6.78,64.06
-1551,5016,5528,156,-12,-61,49.63,-7.33,64.14
-1585,5408,5377,152,-12,-63,51.69,-7.93,64.22
-1572,5772,5213,148,-15,-62,53.70,-8.54,64.28
-1495,6078,4960,145,-20,-60,55.65,-9.09,64.35
-1388,6313,4651,143,-19,-57,57.58,-9.60,64.35
-1312,6482,4277,143,-17,-53,59.52,-10.11,64.19
-1298,6597,3891,146,-17,-48,61.51,-10.58,63.85
-1277,6642,3443,150,-18,-43,63.55,-11.00,63.30
-1248,6682,2971,155,-15,-40,65.68,-11.41,62.49
-1241,6781,2574,159,-13,-37,67.90,-11.80,61.31
-1259,6990,2260,160,-10,-35,70.15,-12.18,59.76
-1314,7292,2021,157,-6,-34,72.39,-12.59,57.80
-1348,7661,1863,150,0,-33,74.56,-13.01,55.37
-1387,8040,1759,141,2,-30,76.60,-13.39,52.54
-1469,8310,1640,132,3,-26,78.52,-13.73,49.36
-1570,8409,1490,124,5,-21,80.32,-14.02,45.79
-1730,8375,1334,119,5,-17,82.03,-14.26,41.82
-1954,8243,1145,116,-1,-11,83.68,-14.45,37.49
-2147,8060,890,115,-5,-6,85.30,-14.58,32.70
-2303,7892,574,115,-10,-3,86.91,-14.66,27.24
-2391,7774,220,115,-11,0,88.54,-14.69,20.96
-2407,7768,-93,113,-9,1,90.16,-165.30,13.98
-2357,7865,-328,107,-7,1,91.71,-165.30,6.68
-2297,8017,-469,98,-3,0,93.14,-165.32,-0.28
-2256,8205,-536,87,-2,1,94.41,-165.34,-6.51
-2214,8403,-596,75,-2,3,95.51,-165.38,-11.82
-2168,8632,-654,62,0,4,96.42,-165.45,-16.09
-2149,8871,-690,49,-1,5,97.14,-165.55,-19.39
