acx1,acy1,acz1,gx1,gy1,gz1,roll1,pitch1,yaw1,acx2,acy2,acz2,gx2,gy2,gz2,roll2,pitch2,yaw2,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pitch_down
7.1,49.1,23.1,0.8,0.0,0.2,-156.0,8.0,143.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,pitch_down
40.1,12.1,3.1,-0.1,-0.1,0.7,-140.0,-57.0,159.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,pitch_down
79.1,49.1,29.1,-0.9,-0.3,0.2,-107.0,-54.0,65.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,pitch_down
68.1,40.1,24.1,0.6,0.0,-0.7,142.0,16.0,9.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,pitch_down
35.1,13.1,15.1,0.4,-0.7,0.6,5.0,-61.0,15.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,pitch_down
88.1,23.1,5.1,-0.8,0.2,-0.4,16.0,87.0,-142.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,pitch_down
94.1,4.1,9.1,0.1,-0.5,0.5,-105.0,68.0,-38.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,pitch_down
13.1,30.1,6.1,-0.8,-0.8,-0.5,22.0,82.0,-53.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,pitch_down
16.1,40.1,40.1,0.9,0.5,-0.4,152.0,28.0,-165.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,pitch_down
13.1,20.1,38.1,0.4,-1.0,-0.6,106.0,-56.0,-154.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,pitch_down
85.1,17.1,22.1,0.9,-0.3,-0.5,-44.0,-5.0,-77.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,pitch_down
79.1,2.1,44.1,0.5,0.8,0.6,-48.0,45.0,-29.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,pitch_down
8.1,27.1,11.1,-0.5,0.5,-0.2,95.0,-54.0,147.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,pitch_down
55.1,39.1,7.1,0.5,0.3,-0.1,140.0,-35.0,75.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,pitch_down
8.1,47.1,1.1,-0.1,-0.7,0.1,111.0,64.0,-121.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,pitch_down
17.1,25.1,0.1,0.6,-0.6,0.7,-132.0,-66.0,170.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,pitch_down
78.1,49.1,9.1,-0.1,0.3,-0.7,-13.0,-63.0,-7.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,pitch_down
70.1,35.1,16.1,0.8,0.5,0.3,137.0,86.0,38.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,pitch_down
20.1,12.1,33.1,0.7,0.1,-0.2,-111.0,3.0,-63.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,pitch_down
55.1,46.1,7.1,0.8,-1.0,-0.4,55.0,27.0,173.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,pitch_down
63.1,2.1,17.1,-0.7,0.9,-0.3,-33.0,59.0,15.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,pitch_down
