acx1,acy1,acz1,gx1,gy1,gz1,roll1,pitch1,yaw1,acx2,acy2,acz2,gx2,gy2,gz2,roll2,pitch2,yaw2,label
52.1,12.1,6.1,-0.8,0.1,-0.6,-80.0,-34.0,47.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,yaw_right
4.1,32.1,42.1,0.3,0.0,0.1,77.0,-77.0,34.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,yaw_right
82.1,41.1,10.1,0.3,0.7,-0.6,-111.0,41.0,-171.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,yaw_right
80.1,7.1,5.1,0.2,-0.3,-0.7,17.0,52.0,92.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,yaw_right
32.1,12.1,17.1,0.9,-0.8,-0.4,-132.0,4.0,-157.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,yaw_right
38.1,45.1,19.1,-0.1,0.7,-0.7,128.0,22.0,16.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,yaw_right
86.1,41.1,0.1,-0.8,0.5,-0.6,-143.0,41.0,33.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,yaw_right
10.1,24.1,41.1,0.8,-0.4,0.7,123.0,81.0,-65.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,yaw_right
40.1,34.1,27.1,-0.9,-0.2,-0.4,-45.0,-57.0,-126.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,yaw_right
18.1,1.1,47.1,0.5,-0.3,-0.5,173.0,-11.0,-167.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,yaw_right
23.1,26.1,11.1,0.8,0.5,-0.1,-1.0,42.0,62.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,yaw_right
93.1,20.1,48.1,0.8,-0.3,-0.4,117.0,-83.0,-120.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,yaw_right
17.1,11.1,6.1,-1.0,-0.1,0.9,144.0,-22.0,147.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,yaw_right
36.1,0.1,22.1,-0.6,-0.9,0.9,-88.0,-49.0,170.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,yaw_right
78.1,37.1,2.1,0.5,-0.9,-0.8,-144.0,-37.0,10.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,yaw_right
57.1,39.1,40.1,-0.5,-0.1,-0.5,69.0,-85.0,-173.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,yaw_right
66.1,38.1,35.1,0.5,-0.1,0.7,-13.0,-64.0,170.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,yaw_right
94.1,0.1,24.1,-0.2,-0.4,-0.5,173.0,-59.0,-112.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,yaw_right
39.1,45.1,19.1,-0.5,0.8,0.4,-1.0,77.0,-157.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,yaw_right
