ax,ay,az,gx,gy,gz,roll,pitch,target,target_name
336.0,145.0,3980.0,0.0,0.0,35.0,11.15,-3.4,0.0,right
317.0,167.0,3938.0,-6.0,-7.0,33.0,11.13,-3.4,0.0,right
331.0,136.0,3946.0,-6.0,-8.0,29.0,11.12,-3.4,0.0,right
324.0,152.0,3945.0,-6.0,-9.0,27.0,11.12,-3.4,0.0,right
320.0,147.0,3949.0,-8.0,-8.0,27.0,11.12,-3.4,0.0,right
327.0,158.0,3941.0,-8.0,-8.0,27.0,11.11,-3.41,0.0,right
291.0,159.0,3938.0,1.0,-15.0,9.0,11.09,-3.41,0.0,right
301.0,142.0,3980.0,-2.0,-17.0,8.0,11.09,-3.41,0.0,right
314.0,150.0,3932.0,-5.0,-17.0,7.0,11.08,-3.41,0.0,right
309.0,142.0,3933.0,-3.0,-17.0,6.0,11.08,-3.42,0.0,right
294.0,183.0,3877.0,-11.0,-22.0,0.0,11.05,-3.43,0.0,right
296.0,179.0,3889.0,-12.0,-20.0,0.0,11.05,-3.43,0.0,right
321.0,189.0,3885.0,-10.0,-18.0,-1.0,11.05,-3.43,0.0,right
344.0,204.0,3902.0,-8.0,-18.0,-1.0,11.04,-3.43,0.0,right
311.0,221.0,3906.0,19.0,-7.0,-4.0,11.04,-3.43,0.0,right
305.0,215.0,3922.0,22.0,-6.0,-1.0,11.04,-3.43,0.0,right
279.0,210.0,3879.0,23.0,-8.0,1.0,11.04,-3.43,0.0,right
258.0,210.0,3865.0,24.0,-8.0,3.0,11.04,-3.43,0.0,right
284.0,201.0,3843.0,26.0,-9.0,4.0,11.04,-3.43,0.0,right
289.0,222.0,3833.0,0.0,-5.0,16.0,11.02,-3.43,0.0,right
292.0,243.0,3823.0,-4.0,-4.0,17.0,11.02,-3.43,0.0,right
274.0,276.0,3826.0,-7.0,-7.0,17.0,11.01,-3.43,0.0,right
282.0,256.0,3828.0,-12.0,-6.0,15.0,11.01,-3.43,0.0,right
247.0,267.0,3915.0,-39.0,6.0,5.0,10.97,-3.42,0.0,right
248.0,266.0,3941.0,-39.0,4.0,6.0,10.96,-3.42,0.0,right
253.0,254.0,3898.0,-36.0,4.0,8.0,10.96,-3.42,0.0,right
246.0,247.0,3886.0,-36.0,7.0,8.0,10.96,-3.42,0.0,right
260.0,258.0,3920.0,-37.0,10.0,10.0,10.95,-3.42,0.0,right
256.0,224.0,3895.0,-2.0,2.0,26.0,10.93,-3.42,0.0,right
256.0,229.0,3904.0,2.0,-2.0,33.0,10.93,-3.42,0.0,right
240.0,232.0,3902.0,6.0,-3.0,38.0,10.93,-3.42,0.0,right
252.0,225.0,3889.0,10.0,-5.0,39.0,10.93,-3.42,0.0,right
270.0,217.0,3862.0,55.0,-3.0,59.0,10.94,-3.42,0.0,right
244.0,223.0,3870.0,58.0,-3.0,62.0,10.95,-3.42,0.0,right
257.0,213.0,3888.0,62.0,-4.0,63.0,10.95,-3.42,0.0,right
265.0,205.0,3877.0,62.0,-5.0,63.0,10.95,-3.42,0.0,right
292.0,201.0,3846.0,65.0,-3.0,64.0,10.95,-3.42,0.0,right
319.0,220.0,3760.0,45.0,-5.0,69.0,10.96,-3.43,0.0,right
287.0,233.0,3747.0,38.0,-4.0,71.0,10.96,-3.43,0.0,right
312.0,246.0,3754.0,31.0,-4.0,69.0,10.96,-3.44,0.0,right
303.0,247.0,3772.0,24.0,-7.0,68.0,10.96,-3.44,0.0,right
311.0,192.0,3820.0,-27.0,-5.0,52.0,10.92,-3.44,0.0,right
318.0,171.0,3774.0,-30.0,-7.0,52.0,10.92,-3.45,0.0,right
312.0,169.0,3819.0,-32.0,-8.0,46.0,10.91,-3.45,0.0,right
320.0,165.0,3851.0,-35.0,-8.0,44.0,10.91,-3.45,0.0,right
350.0,102.0,3864.0,-28.0,-2.0,41.0,10.86,-3.45,0.0,right
331.0,118.0,3853.0,-25.0,0.0,40.0,10.86,-3.45,0.0,right
372.0,128.0,3849.0,-26.0,1.0,42.0,10.85,-3.46,0.0,right
365.0,133.0,3864.0,-24.0,1.0,39.0,10.85,-3.46,0.0,right
390.0,118.0,3851.0,-20.0,1.0,39.0,10.84,-3.46,0.0,right
348.0,105.0,3843.0,-27.0,21.0,31.0,10.8,-3.45,0.0,right
380.0,88.0,3869.0,-32.0,25.0,30.0,10.79,-3.45,0.0,right
379.0,94.0,3890.0,-29.0,32.0,30.0,10.79,-3.44,0.0,right
356.0,113.0,3901.0,-25.0,34.0,31.0,10.78,-3.44,0.0,right
361.0,120.0,3870.0,-24.0,20.0,32.0,10.74,-3.43,0.0,right
346.0,137.0,3890.0,-24.0,18.0,32.0,10.74,-3.43,0.0,right
342.0,134.0,3840.0,-23.0,21.0,33.0,10.73,-3.43,0.0,right
340.0,120.0,3892.0,-26.0,21.0,35.0,10.73,-3.43,0.0,right
319.0,97.0,3900.0,-21.0,8.0,41.0,10.69,-3.43,0.0,right
352.0,93.0,3911.0,-22.0,5.0,39.0,10.68,-3.43,0.0,right
364.0,95.0,3899.0,-20.0,2.0,36.0,10.68,-3.43,0.0,right
352.0,99.0,3923.0,-18.0,3.0,39.0,10.67,-3.43,0.0,right
343.0,114.0,3891.0,-17.0,4.0,43.0,10.67,-3.43,0.0,right
333.0,89.0,3935.0,13.0,-7.0,45.0,10.65,-3.44,0.0,right
323.0,78.0,3919.0,15.0,-7.0,44.0,10.65,-3.44,0.0,right
320.0,64.0,3896.0,19.0,-7.0,44.0,10.65,-3.44,0.0,right
344.0,61.0,3886.0,18.0,-5.0,47.0,10.65,-3.44,0.0,right
312.0,100.0,3927.0,15.0,-1.0,49.0,10.63,-3.45,0.0,right
329.0,105.0,3913.0,11.0,1.0,45.0,10.63,-3.45,0.0,right
328.0,110.0,3899.0,10.0,1.0,43.0,10.63,-3.45,0.0,right
332.0,140.0,3908.0,7.0,-1.0,43.0,10.62,-3.45,0.0,right
329.0,104.0,3890.0,1.0,1.0,41.0,10.62,-3.45,0.0,right
335.0,155.0,3853.0,-60.0,-4.0,20.0,10.56,-3.45,0.0,right
306.0,132.0,3871.0,-68.0,-7.0,19.0,10.55,-3.45,0.0,right
326.0,134.0,3863.0,-75.0,-6.0,15.0,10.54,-3.45,0.0,right
291.0,134.0,3855.0,-82.0,-7.0,11.0,10.53,-3.45,0.0,right
293.0,100.0,3898.0,-114.0,-28.0,-12.0,10.43,-3.47,0.0,right
325.0,82.0,3894.0,-111.0,-31.0,-13.0,10.42,-3.47,0.0,right
328.0,45.0,3899.0,-112.0,-32.0,-15.0,10.41,-3.47,0.0,right
309.0,61.0,3922.0,-112.0,-33.0,-17.0,10.4,-3.47,0.0,right
313.0,56.0,3915.0,-90.0,-25.0,-30.0,10.31,-3.48,0.0,right
290.0,73.0,3906.0,-88.0,-24.0,-27.0,10.3,-3.48,0.0,right
287.0,63.0,3938.0,-86.0,-23.0,-25.0,10.29,-3.48,0.0,right
320.0,74.0,3919.0,-83.0,-18.0,-24.0,10.29,-3.48,0.0,right
283.0,114.0,3936.0,-35.0,-1.0,-19.0,10.24,-3.48,0.0,right
288.0,117.0,3923.0,-29.0,-1.0,-14.0,10.24,-3.48,0.0,right
281.0,115.0,3920.0,-25.0,-1.0,-16.0,10.23,-3.48,0.0,right
261.0,122.0,3938.0,-20.0,-1.0,-17.0,10.23,-3.48,0.0,right
287.0,144.0,3908.0,37.0,-1.0,-1.0,10.23,-3.47,0.0,right
288.0,117.0,3878.0,42.0,-5.0,2.0,10.23,-3.47,0.0,right
272.0,130.0,3901.0,47.0,-7.0,2.0,10.24,-3.47,0.0,right
295.0,150.0,3855.0,52.0,-7.0,3.0,10.24,-3.47,0.0,right
276.0,144.0,3894.0,56.0,-6.0,7.0,10.24,-3.47,0.0,right
283.0,134.0,3864.0,96.0,-6.0,19.0,10.28,-3.47,0.0,right
287.0,145.0,3853.0,99.0,-4.0,20.0,10.29,-3.47,0.0,right
290.0,145.0,3850.0,103.0,-4.0,23.0,10.29,-3.47,0.0,right
292.0,130.0,3874.0,105.0,-3.0,25.0,10.3,-3.47,0.0,right
302.0,148.0,3864.0,88.0,11.0,22.0,10.34,-3.47,0.0,right
289.0,181.0,3876.0,83.0,12.0,24.0,10.34,-3.46,0.0,right
306.0,178.0,3857.0,77.0,15.0,24.0,10.35,-3.46,0.0,right
303.0,182.0,3849.0,74.0,14.0,22.0,10.35,-3.46,0.0,right
307.0,175.0,3868.0,73.0,13.0,21.0,10.35,-3.46,0.0,right
348.0,207.0,3809.0,20.0,7.0,10.0,10.35,-3.46,0.0,right
353.0,200.0,3799.0,14.0,3.0,4.0,10.35,-3.46,0.0,right
345.0,219.0,3802.0,9.0,1.0,1.0,10.35,-3.46,0.0,right
331.0,223.0,3819.0,9.0,3.0,2.0,10.35,-3.46,0.0,right
305.0,191.0,3829.0,-3.0,2.0,-7.0,10.33,-3.45,0.0,right
316.0,182.0,3794.0,-3.0,0.0,-6.0,10.33,-3.45,0.0,right
316.0,185.0,3806.0,-6.0,0.0,-7.0,10.33,-3.45,0.0,right
302.0,191.0,3829.0,-6.0,3.0,-7.0,10.32,-3.45,0.0,right
